pair_key,from_id,to_id,status,status_ab,status_ba,ab_latency_ms,ba_latency_ms,ab_bandwidth_mbps,ba_bandwidth_mbps,ab_utilization_pct,ba_utilization_pct,ab_packet_loss_pct,ba_packet_loss_pct,ab_jitter_ms,ba_jitter_ms,ab_ts,ba_ts,latency_peak_ms,bandwidth_peak_mbps,display_label
cloud-bj-01||cloud-cn-registry,cloud-bj-01,cloud-cn-registry,up,up,up,16,16,8278,8278,43,37,0.08,0.08,1.58,1.58,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,16,8278,16ms/16ms | 8.28Gbps/8.28Gbps
cloud-bj-01||cloud-hz-03,cloud-bj-01,cloud-hz-03,up,up,up,18,18,8189,8189,60,62,0.09,0.09,1.89,1.89,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,18,8189,18ms/18ms | 8.19Gbps/8.19Gbps
cloud-bj-01||cloud-sh-01,cloud-bj-01,cloud-sh-01,up,up,up,19,19,8172,8172,56,53,0.09,0.09,1.52,1.52,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,19,8172,19ms/19ms | 8.17Gbps/8.17Gbps
cloud-bj-01||edge-bj-01,cloud-bj-01,edge-bj-01,up,up,up,20,22,5200,5000,59,63,0.05,0.08,1.1,1.4,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,22,5200,20ms/22ms | 5.2Gbps/5Gbps
cloud-bj-01||edge-bj-02,cloud-bj-01,edge-bj-02,degraded,degraded,degraded,23,23,4996,4996,81,88,0.11,0.71,1.84,1.84,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,23,4996,23ms/23ms | 5Gbps/5Gbps
cloud-bj-01||edge-gz-01,cloud-bj-01,edge-gz-01,down,down,down,49,49,3087,3087,64,63,0.23,0.23,3.75,3.75,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,49,3087,49ms/49ms | 3.09Gbps/3.09Gbps
cloud-bj-01||edge-sh-01,cloud-bj-01,edge-sh-01,up,up,up,27,27,4778,4778,65,66,0.12,0.12,2.46,2.46,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,27,4778,27ms/27ms | 4.78Gbps/4.78Gbps
cloud-bj-01||gw-bj-01,cloud-bj-01,gw-bj-01,up,up,up,15,15,3576,3576,58,57,0.08,0.08,1.5,1.5,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,15,3576,15ms/15ms | 3.58Gbps/3.58Gbps
cloud-bj-01||gw-sh-01,cloud-bj-01,gw-sh-01,up,up,up,21,21,2643,2643,57,55,0.1,0.1,2.43,2.43,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,21,2643,21ms/21ms | 2.64Gbps/2.64Gbps
cloud-bj-01||terminal-desktop-01,cloud-bj-01,terminal-desktop-01,up,up,up,41,41,120,120,48,45,0.19,0.19,2.87,2.87,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,41,120,41ms/41ms | 120Mbps/120Mbps
