id,name,kind,layer,status,region,zone,cpu_cores,gpu_count,memory_gb,load_pct,cpu_pct,gpu_pct,mem_pct,metrics_ts
cloud-hz-03,Cloud Compute HZ-03,compute,cloud,up,cn-east,hangzhou-a,128,8,1024,63,61,68,59,2026-03-27T11:59:55+08:00
cloud-bj-01,Cloud Compute BJ-01,compute,cloud,up,cn-north,beijing-b,96,4,768,57,56,49,60,2026-03-27T11:59:55+08:00
cloud-sh-01,Discovery Service SH-01,service,cloud,up,cn-east,shanghai-a,48,0,256,42,44,0,51,2026-03-27T11:59:55+08:00
cloud-cn-registry,Global Registry,service,cloud,up,cn-central,wuhan-a,32,0,128,35,37,0,40,2026-03-27T11:59:55+08:00
edge-bj-01,Edge Compute BJ-01,compute,edge,up,cn-north,beijing-edge-a,32,1,128,71,69,77,66,2026-03-27T11:59:55+08:00
edge-bj-02,Edge Compute BJ-02,compute,edge,degraded,cn-north,beijing-edge-b,24,1,96,86,89,82,79,2026-03-27T11:59:55+08:00
edge-sh-01,Edge Compute SH-01,compute,edge,up,cn-east,shanghai-edge-a,28,1,96,64,61,66,58,2026-03-27T11:59:55+08:00
edge-gz-01,Edge Compute GZ-01,compute,edge,down,cn-south,guangzhou-edge-a,24,1,64,,,,,2026-03-27T11:59:55+08:00
gw-bj-01,Gateway BJ-01,gateway,edge,up,cn-north,beijing-gw,16,0,32,54,51,0,49,2026-03-27T11:59:55+08:00
gw-sh-01,Gateway SH-01,gateway,edge,up,cn-east,shanghai-gw,16,0,32,47,44,0,46,2026-03-27T11:59:55+08:00
terminal-phone-01,Terminal Phone 01,terminal,terminal,up,cn-north,beijing-user,8,0,6,33,31,0,52,2026-03-27T11:59:55+08:00
terminal-desktop-01,Terminal Desktop 01,terminal,terminal,up,cn-east,shanghai-user,12,1,16,38,35,19,41,2026-03-27T11:59:55+08:00
